cod_empresa|alerta|sequencia|num_programa|data_programa|cod_equip|num_ordem|ies_situa|cod_item_cliente|cod_item|operacao|qtd_planej|qtd_boas|horas_necessarias|qtd_percentual|obs_alerta
01|0|10|29362|2022-09-27 16:39:28|PR-0438|13857028|2|26288026(1)|100000054501|004 - ESTAMPAR CPL. PROGRESSIVA|20000|0|7,005|0|
01|0|02|29365|2022-09-27 16:41:13|PR-0065|13853991|4|26242861/862|10000005510010|003 - CORTAR BLANK|2800|0|1,806|0|
01|0|02|29366|2022-09-27 16:42:24|PR-0446|13862710|4|26242861  LE|100000055100|010 - ESTAMPAR EM 06 ESTAGIOS|2400|0|11,429|0|
01|0|02|29366|2022-09-27 16:42:24|PR-0446|13850001|4|26242862 LD|100000055200|010 - ESTAMPAR EM 06 ESTAGIOS|2400|0|11,429|0|
01|0|04|29374|2022-09-27 16:57:11|PR-0446|13862591|2|52131286|10000004960120|014 - REPUXAR|2000|0|8,333|0|
01|0|04|29374|2022-09-27 16:57:11|PR-0446|13862463|2|52131288|10000004970120|014 - REPUXAR|2000|0|8,333|0|
01|0|05|29375|2022-09-27 16:58:16|PR-0446|13862441|2|52131286|10000004960130|006 - ESTAMPAR EM 02 ESTAGIOS|2000|0|10|0|
01|0|05|29375|2022-09-27 16:58:16|PR-0446|13861840|2|52131288|10000004970130|006 - ESTAMPAR EM 02 ESTAGIOS|2000|0|10|0|
01|0|04|29377|2022-09-27 16:59:18|PR-0430|13861818|2|52131286|100000049601|006 - ESTAMPAR EM 02 ESTAGIOS|2000|0|7,692|0|
01|0|04|29377|2022-09-27 16:59:18|PR-0430|13860186|2|52131288|100000049701|006 - ESTAMPAR EM 02 ESTAGIOS|2000|0|7,692|0|
01|0|01|29378|2022-09-27 17:00:32|PR-0420|13849463|4|52020023 LE|100000040800|007 - ESTAMPAR EM 03 ESTAGIOS|3000|1138|7,162|0,379|
01|0|01|29378|2022-09-27 17:00:32|PR-0420|13849471|4|52020027 LD|100000040900|007 - ESTAMPAR EM 03 ESTAGIOS|3000|1138|7,162|0,379|
01|0|01|30189|2022-10-04 12:01:25|SP-0443|13929118|4|533272410|87000032510020|043 - PONTEAR ABA|12000|0|63,158|0|
01|0|03|30193|2022-10-04 12:07:44|SP-0463|13929122|3|520043110|87000030740030|060 - SOLDAR PARAFUSO PROJECAO|4000|0|9,804|0|
12|0|03|30117|2022-10-03 16:57:40|SP-0452|12308952|4|534895820 LE|87000031790010|055 - MONTAR COMP.E SOLDAR PONTO|250|0|2,5|0|
12|0|04|30118|2022-10-03 16:58:16|SP-0452|12303896|2|534895820 LE|87000031790020|060 - SOLDAR PARAFUSO PROJECAO|250|0|1,25|0|
01|0|02|30120|2022-10-03 17:20:30|SP-0465|13923649|4|26240508|100000054804|035 - SOLDAR PORCA|1500|0|5,172|0|
01|0|10|30122|2022-10-03 18:51:09|PR-0434|13920683|2|26276044     LD|100000057800|004 - ESTAMPAR CPL. PROGRESSIVA|6000|0|5,343|0|
01|0|10|30122|2022-10-03 18:51:09|PR-0434|13920689|2|26276045    LE|100000057900|004 - ESTAMPAR CPL. PROGRESSIVA|6000|0|5,343|0|
01|0|03|30125|2022-10-03 21:26:35|SP-0461|13921084|4|52169075 LD|10000006660020|035 - SOLDAR PORCA|400|0|1,29|0|
01|0|04|29425|2022-09-28 08:30:29|PR-0412|13865026|2|68513T9AA LD|570002000100|008 - ESTAMPAR EM 04 ESTAGIOS|1150|0|4,6|0|
01|0|04|29425|2022-09-28 08:30:29|PR-0412|13865028|2|68563T9AA LE|570002000200|008 - ESTAMPAR EM 04 ESTAGIOS|1150|0|4,6|0|
01|0|06|29427|2022-09-28 08:35:26|PR-0432|13865079|2|71137T9AT000H1|570002004100|007 - ESTAMPAR EM 03 ESTAGIOS|1400|0|4,636|0|
01|0|03|30194|2022-10-04 12:10:22|RM-0009|13929123|3|B3G-F7412-00|16000060730010|037 - MONTAR E SOLDAR MIG|2000|0|47,619|0|
12|0|42|30130|2022-10-03 22:32:55|RP-0003|12302998|4|534164550 LE|870000324100|038 - MONTAR CJ. FINAL|400|401|0|1,003|
12|0|42|30130|2022-10-03 22:32:55|RP-0003|12302977|4|534164540 LD|870000324000|038 - MONTAR CJ. FINAL|400|399|0,014|0,998|
01|0|01|29446|2022-09-28 10:15:06|RP-0004|13872252|4|509283660|87000031350310|055 - MONTAR COMP.E SOLDAR PONTO|500|513|0|1,026|
01|0|08|29447|2022-09-28 10:24:07|PR-0129|13872121|2|520235110(1)|870000305801|004 - ESTAMPAR CPL. PROGRESSIVA|12464|0|3,047|0|
01|0|08|29449|2022-09-28 10:26:57|PR-0438|13605203|2|520450460|870000312700|004 - ESTAMPAR CPL. PROGRESSIVA|12000|0|7,357|0|
01|0|01|29450|2022-09-28 10:28:01|PR-0065|13775792|4|552213360|87000031050010|004 - ESTAMPAR CPL. PROGRESSIVA|12000|15578|0|1,298|
01|0|04|30195|2022-10-04 12:11:33|TK-0002|13929124|4|26227972|10000005420010|036 - SOLDAR PINO|1500|610|5,235|0,407|
01|0|06|29456|2022-09-28 11:37:00|PR-0065|13872111|4|520235320|87000030550110|004 - ESTAMPAR CPL. PROGRESSIVA|83728|18830|26,274|0,225|
01|0|05|30136|2022-10-04 05:54:19|PR-0431|13929087|2|777050A020|51000350270020|009 - ESTAMPAR EM 05 ESTAGIOS|2000|0|6,061|0|
01|0|01|30137|2022-10-04 05:58:11|PR-0129|13929088|4|72001927|110000319000|004 - ESTAMPAR CPL. PROGRESSIVA|12000|2902|3,99|0,242|
01|0|10|30138|2022-10-04 06:09:31|PR-0447|13929089|2|6314402280|510003503200|004 - ESTAMPAR CPL. PROGRESSIVA|3000|0|3,125|0|
01|0|09|30140|2022-10-04 06:14:27|PR-0447|13929091|2|6712302310 LD|510003502800|004 - ESTAMPAR CPL. PROGRESSIVA|3000|0|3,571|0|
01|0|13|30142|2022-10-04 06:18:12|PR-0447|13929092|2|67122_BX000|52000195020110|003 - CORTAR BLANK|2500|0|2,427|0|
01|0|14|30143|2022-10-04 06:18:48|PR-0447|13929093|2|67122_BX000|520001950201|008 - ESTAMPAR EM 04 ESTAGIOS|2500|0|9,615|0|
01|0|11|30145|2022-10-04 06:26:24|PR-0434|13929094|2|460896781R_PC01|620000173301|004 - ESTAMPAR CPL. PROGRESSIVA|10000|0|6,944|0|
01|0|02|30149|2022-10-04 07:19:31|RM-0009|13929099|4|B3G-F7211-00|16000060720010|037 - MONTAR E SOLDAR MIG|1700|0|28,333|0|
01|0|01|30151|2022-10-04 07:29:58|SP-0454|13929101|4|67361K1010|510003501200|035 - SOLDAR PORCA|4000|0|12,539|0|
01|0|01|30152|2022-10-04 07:33:11|TK-0001|13929102|4|52102519|10000004050010|060 - SOLDAR PARAFUSO PROJECAO|1500|730|8,556|0,487|
01|0|03|30153|2022-10-04 07:36:54|TK-0002|13929103|4|26228172|100000056001|036 - SOLDAR PINO|2000|0|15,385|0|
01|0|02|30154|2022-10-04 07:52:39|SP-0434|13929105|3|589940D060|510003503401|035 - SOLDAR PORCA|200|0|2,222|0|
01|0|01|30156|2022-10-04 07:56:20|SP-0434|13929106|4|589960D220|510003503402|035 - SOLDAR PORCA|4248|2155|5,657|0,507|
01|0|08|29515|2022-09-28 15:49:25|PR-0437|13867282|2|26227992|100000055301|004 - ESTAMPAR CPL. PROGRESSIVA|10000|0|5,988|0|
01|0|08|29515|2022-09-28 15:49:25|PR-0437|13867288|2|26227994|100000055401|004 - ESTAMPAR CPL. PROGRESSIVA|10000|0|5,988|0|
01|0|01|30160|2022-10-04 08:53:55|PR-0267|13929108|4|5RM-F7425-00|16000060570320|004 - ESTAMPAR CPL. PROGRESSIVA|7824|0|8,993|0|
01|0|08|29572|2022-09-29 08:32:27|PR-0444|13879108|2|519884150 LD|870000322600|008 - ESTAMPAR EM 04 ESTAGIOS|11200|0|56|0|
01|0|08|29572|2022-09-29 08:32:27|PR-0444|13879127|2|519884160 LE|870000322700|008 - ESTAMPAR EM 04 ESTAGIOS|11200|0|56|0|
12|0|01|30170|2022-10-04 10:45:45|RM-0002|12317679|4|53489540 LD|870000319204|037 - MONTAR E SOLDAR MIG|400|244|1,418|0,61|
12|0|01|30170|2022-10-04 10:45:45|RM-0002|12318772|4|53489595 LE|870000319404|037 - MONTAR E SOLDAR MIG|400|394|0,055|0,985|
01|0|01|29559|2022-09-29 06:50:38|SP-0432|13888673|4|4B4-F7422-00|16000060570005|035 - SOLDAR PORCA|1661|0|5,828|0|
01|0|02|29562|2022-09-29 06:57:23|SP-0432|13887510|4|4B4-F7422-00|16000060570010|035 - SOLDAR PORCA|1661|0|8,305|0|
01|0|02|30206|2022-10-04 12:41:54|RP-0004|13929136|4|522225730|87000033020020|055 - MONTAR COMP.E SOLDAR PONTO|900|316|10,618|0,351|
01|0|03|30207|2022-10-04 12:43:22|RP-0004|13929137|3|521381440|87000031410010|055 - MONTAR COMP.E SOLDAR PONTO|2000|0|25|0|
01|0|04|30208|2022-10-04 12:43:35|RP-0004|13929138|3|509283650|87000031360310|055 - MONTAR COMP.E SOLDAR PONTO|900|0|11,25|0|
01|0|02|29569|2022-09-29 07:44:40|PR-0128|13882386|2|520458050(1)|870000311801|007 - ESTAMPAR EM 03 ESTAGIOS|6704|0|20,315|0|
01|0|36|29570|2022-09-29 08:00:19|BM-0004|13879078|4|534371170|870000318200|038 - MONTAR CJ. FINAL|350|0|1,458|0|
12|0|05|30175|2022-10-04 10:53:30|PR-0454|12315334|4|534901850 LD|870000326800|008 - ESTAMPAR EM 04 ESTAGIOS|310|0|1,55|0|
12|0|05|30175|2022-10-04 10:53:30|PR-0454|12315351|4|534902050 LE|870000326900|008 - ESTAMPAR EM 04 ESTAGIOS|310|0|1,55|0|
01|0|01|29579|2022-09-29 08:57:53|PR-0154|13888825|4|FA00ADB48240|87000031360220|003 - CORTAR BLANK|2500|1713|3,748|0,685|
01|0|03|30179|2022-10-04 10:58:40|PR-0443|13897320|4|26240497|100000054901|008 - ESTAMPAR EM 04 ESTAGIOS|3500|0|5,833|0|
01|0|03|29583|2022-09-29 09:05:52|PR-0154|13879784|4|52016840|100000038600|007 - ESTAMPAR EM 03 ESTAGIOS|2098|0|7,493|0|
01|0|01|29585|2022-09-29 09:12:52|PR-0446|13880298|4|98104347|100000052201|009 - ESTAMPAR EM 05 ESTAGIOS|1811|1216|2,975|0,671|
01|0|01|29585|2022-09-29 09:12:52|PR-0446|13880309|4|98104346|100000052301|009 - ESTAMPAR EM 05 ESTAGIOS|1811|847|4,82|0,468|
12|0|02|30181|2022-10-04 11:01:58|SP-0435|12314409|4|533464380|870000320600|035 - SOLDAR PORCA|800|805|0|1,006|
12|0|04|30182|2022-10-04 11:04:31|SP-0435|12319758|4|519000180 LD|870000323803|035 - SOLDAR PORCA|1000|1004|0|1,004|
01|0|06|29665|2022-09-29 15:22:14|PR-0434|13886830|2|52108068/069|10000004760210|014 - REPUXAR|1500|0|1,667|0|
12|0|05|30184|2022-10-04 11:11:45|SP-0435|12319863|2|519002640 LE|870000323903|035 - SOLDAR PORCA|1200|0|2,667|0|
01|0|03|30197|2022-10-04 12:17:13|SP-0440|13929126|3|64162-BX000|520001950109|035 - SOLDAR PORCA|1000|0|10|0|
